operationId,operationDate,operationType,note,totalAmtAccepted,propositions
RP 061325 1,2025-06-13,Reverse Repo,,168645000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2975000000}, {'counterpartyType': 'mmf', 'amtAccepted': 165670000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 061225 1,2025-06-12,Reverse Repo,,181417000000,"[{'counterpartyType': 'bank', 'amtAccepted': 2000000}, {'counterpartyType': 'gse', 'amtAccepted': 3375000000}, {'counterpartyType': 'mmf', 'amtAccepted': 178039000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 061125 1,2025-06-11,Reverse Repo,,204625000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2625000000}, {'counterpartyType': 'mmf', 'amtAccepted': 201499000000}, {'counterpartyType': 'pd', 'amtAccepted': 501000000}]"
RP 061025 1,2025-06-10,Reverse Repo,,182725000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2820000000}, {'counterpartyType': 'mmf', 'amtAccepted': 179905000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 060925 1,2025-06-09,Reverse Repo,,179315000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 3045000000}, {'counterpartyType': 'mmf', 'amtAccepted': 176268000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 060625 1,2025-06-06,Reverse Repo,,149284000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2955000000}, {'counterpartyType': 'mmf', 'amtAccepted': 146329000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 060525 1,2025-06-05,Reverse Repo,,152727000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3035000000}, {'counterpartyType': 'mmf', 'amtAccepted': 149691000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 060425 1,2025-06-04,Reverse Repo,,168882000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 3400000000}, {'counterpartyType': 'mmf', 'amtAccepted': 165481000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 060325 1,2025-06-03,Reverse Repo,,153177000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4000000000}, {'counterpartyType': 'mmf', 'amtAccepted': 149177000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 060225 1,2025-06-02,Reverse Repo,,135841000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2775000000}, {'counterpartyType': 'mmf', 'amtAccepted': 133066000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 053025 1,2025-05-30,Reverse Repo,,315657000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 33350000000}, {'counterpartyType': 'mmf', 'amtAccepted': 281807000000}, {'counterpartyType': 'pd', 'amtAccepted': 500000000}]"
RP 052925 1,2025-05-29,Reverse Repo,,165660000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 5450000000}, {'counterpartyType': 'mmf', 'amtAccepted': 160210000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 052825 1,2025-05-28,Reverse Repo,,173641000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 2575000000}, {'counterpartyType': 'mmf', 'amtAccepted': 171064000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
